graph_id,family,split,pair,contract_type,pattern,num_levels,duplicate_vector,sum_options,max_options_per_level,disable_steps_worst,deploy_gas,best_claim_gas,worst_claim_gas,refund_gas,actual_deploy_calldata_bytes,actual_deploy_sstore_count,actual_deploy_call_count,actual_deploy_opcode_steps,actual_best_claim_calldata_bytes,actual_best_claim_sstore_count,actual_best_claim_call_count,actual_best_claim_opcode_steps,actual_worst_path_calldata_bytes,actual_worst_path_sstore_count,actual_worst_path_call_count,actual_worst_path_opcode_steps,actual_refund_path_calldata_bytes,actual_refund_path_sstore_count,actual_refund_path_call_count,actual_refund_path_opcode_steps
hardholdout_bowtie_opt1,bowtie,hard_holdout,D->B|evm|fund:db,CTLCOnly,multi-level,2,1|1,2,1,1,1261994,68747,129972,112508,7347,15,0,2264,292,1,1,1134,520,2,1,2121,40,2,1,534
hardholdout_bowtie_opt1,bowtie,hard_holdout,C->A|evm|fund:ca,CTLCOnly,single-level,1,1,1,1,0,1100987,64620,64620,59561,7091,8,0,1286,196,1,1,793,196,1,1,793,4,1,1,229
hardholdout_bowtie_opt1,bowtie,hard_holdout,B->A|evm|fund:ba,CTLCOnly,single-level,1,1,1,1,0,1100987,64620,64620,59561,7091,8,0,1286,196,1,1,793,196,1,1,793,4,1,1,229
hardholdout_bowtie_opt1,bowtie,hard_holdout,B->X1|evm|fund:bx1,CTLCOnly,single-level,1,1,1,1,0,1146811,72874,72874,59561,7155,10,0,1462,388,1,1,1475,388,1,1,1475,4,1,1,229
hardholdout_bowtie_opt1,bowtie,hard_holdout,X1->C|evm|fund:x1c,CTLCOnly,single-level,1,1,1,1,0,1123899,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
hardholdout_bowtie_opt2,bowtie,hard_holdout,D->B|evm|fund:db,CTLCMultipleEdges,multi-level+multi-option,2,1|2,3,2,1,1446800,71641,133204,112464,8169,22,0,3531,324,1,1,1241,552,2,1,2253,40,2,1,524
hardholdout_bowtie_opt2,bowtie,hard_holdout,B->X2|evm|fund:bx2,CTLCOnly,single-level,1,1,1,1,0,1146811,72874,72874,59561,7155,10,0,1462,388,1,1,1475,388,1,1,1475,4,1,1,229
hardholdout_bowtie_opt2,bowtie,hard_holdout,C->A|evm|fund:ca,CTLCOnly,single-level,1,1,1,1,0,1100987,64620,64620,59561,7091,8,0,1286,196,1,1,793,196,1,1,793,4,1,1,229
hardholdout_bowtie_opt2,bowtie,hard_holdout,B->A|evm|fund:ba,CTLCOnly,single-level,1,1,1,1,0,1100987,64620,64620,59561,7091,8,0,1286,196,1,1,793,196,1,1,793,4,1,1,229
hardholdout_bowtie_opt2,bowtie,hard_holdout,X2->C|evm|fund:x2c,CTLCOnly,single-level,1,1,1,1,0,1123899,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
