graph_id,family,split,leader,atg_path
random_v1_1,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_1.json
random_v1_10,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_10.json
random_v1_100,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_100.json
random_v1_101,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_101.json
random_v1_102,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_102.json
random_v1_103,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_103.json
random_v1_104,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_104.json
random_v1_105,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_105.json
random_v1_106,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_106.json
random_v1_107,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_107.json
random_v1_108,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_108.json
random_v1_109,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_109.json
random_v1_11,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_11.json
random_v1_110,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_110.json
random_v1_111,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_111.json
random_v1_112,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_112.json
random_v1_113,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_113.json
random_v1_114,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_114.json
random_v1_115,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_115.json
random_v1_116,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_116.json
random_v1_117,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_117.json
random_v1_118,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_118.json
random_v1_119,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_119.json
random_v1_12,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_12.json
random_v1_120,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_120.json
random_v1_121,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_121.json
random_v1_122,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_122.json
random_v1_123,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_123.json
random_v1_124,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_124.json
random_v1_125,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_125.json
random_v1_126,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_126.json
random_v1_127,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_127.json
random_v1_128,random_v1,train,A,paper2/data/raw/random_graphs/random_v1_128.json
