target,variant,test_split,train_rows,test_rows,mae,mape_pct,r2,status
deploy_gas,topology,holdout,2183,64,17109.4623,1.4267,0.9638,ok
deploy_gas,topology,hard_holdout,2183,70,17446.1564,1.5007,0.976,ok
deploy_gas,topology_plus_trace_core,holdout,2183,64,7.9979,0.0006,1.0,ok
deploy_gas,topology_plus_trace_core,hard_holdout,2183,70,7.1164,0.0006,1.0,ok
deploy_gas,topology_plus_trace_full,holdout,2183,64,7.9979,0.0006,1.0,ok
deploy_gas,topology_plus_trace_full,hard_holdout,2183,70,7.1164,0.0006,1.0,ok
worst_claim_gas,topology,holdout,2183,64,3170.7298,4.4936,0.945,ok
worst_claim_gas,topology,hard_holdout,2183,70,3466.3642,4.6965,0.9633,ok
worst_claim_gas,topology_plus_trace_core,holdout,2183,64,1079.0851,1.2879,0.9883,ok
worst_claim_gas,topology_plus_trace_core,hard_holdout,2183,70,1396.9915,1.5447,0.989,ok
worst_claim_gas,topology_plus_trace_full,holdout,2183,64,1104.923,1.3262,0.9882,ok
worst_claim_gas,topology_plus_trace_full,hard_holdout,2183,70,1429.8875,1.5931,0.9888,ok
refund_gas,topology,holdout,2183,64,1295.2716,1.8995,0.982,ok
refund_gas,topology,hard_holdout,2183,70,1484.7533,1.9894,0.9846,ok
refund_gas,topology_plus_trace_core,holdout,2183,64,1295.2716,1.8995,0.982,ok
refund_gas,topology_plus_trace_core,hard_holdout,2183,70,1484.7533,1.9894,0.9846,ok
refund_gas,topology_plus_trace_full,holdout,2183,64,992.5987,1.3816,0.9835,ok
refund_gas,topology_plus_trace_full,hard_holdout,2183,70,1151.5699,1.4123,0.9855,ok
