graph_id,pair,contract,scenario,deployGas,gasUsed,disableGasUsed,claimGasUsed,refundGasUsed,contractAddress,ok,error,caseDir
"hardholdout_ladder_opt2","B->A|evm|fund:ba","CTLCOnly","best_claim","0x10ccbb","64620","","64620","","0x09023DF434B5061948F990EEFB3AA976734CBBD9","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_ladder_opt2/B-_A_evm_fund_ba_CTLCOnly_best_claim"
"hardholdout_ladder_opt2","B->A|evm|fund:ba","CTLCOnly","worst_claim","0x10ccbb","64620","0","64620","","0xfE91Fff9B0B56454e93C36b5F147001990f3922d","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_ladder_opt2/B-_A_evm_fund_ba_CTLCOnly_worst_claim"
"hardholdout_ladder_opt2","B->A|evm|fund:ba","CTLCOnly","refund","0x10ccbb","59561","0","","59561","0x0fcE401F943555413F0957BD0F080f5358A4B078","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_ladder_opt2/B-_A_evm_fund_ba_CTLCOnly_refund"
"hardholdout_ladder_opt2","B->X1|evm|fund:bx1","CTLCOnly","best_claim","0x117faf","72874","","72874","","0x7D830BdC0fd3704D07ee9ec4CB37129b7c4F4B19","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_ladder_opt2/B-_X1_evm_fund_bx1_CTLCOnly_best_claim"
"hardholdout_ladder_opt2","B->X1|evm|fund:bx1","CTLCOnly","worst_claim","0x117faf","72874","0","72874","","0x17C20a4657ba9C9552503325e97ffA147Af3f650","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_ladder_opt2/B-_X1_evm_fund_bx1_CTLCOnly_worst_claim"
"hardholdout_ladder_opt2","B->X1|evm|fund:bx1","CTLCOnly","refund","0x117faf","59561","0","","59561","0x043e50e3375F93a072aa1aE3a5bAB62087e41dA5","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_ladder_opt2/B-_X1_evm_fund_bx1_CTLCOnly_refund"
"hardholdout_ladder_opt2","B->X2|evm|fund:bx2","CTLCOnly","best_claim","0x117fbb","72874","","72874","","0x9636f4FA088A2dE7F78d91DbA6CB9f0ce444AD00","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_ladder_opt2/B-_X2_evm_fund_bx2_CTLCOnly_best_claim"
"hardholdout_ladder_opt2","B->X2|evm|fund:bx2","CTLCOnly","worst_claim","0x117fbb","72874","0","72874","","0x412ffeB72321EefA4D71927dC662A5915e3E2D01","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_ladder_opt2/B-_X2_evm_fund_bx2_CTLCOnly_worst_claim"
"hardholdout_ladder_opt2","B->X2|evm|fund:bx2","CTLCOnly","refund","0x117fbb","59561","0","","59561","0x487F98B43c7B53ce489A9EeA3c08956D23B88fdd","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_ladder_opt2/B-_X2_evm_fund_bx2_CTLCOnly_refund"
"hardholdout_ladder_opt2","D->B|evm|fund:db","CTLCMultipleEdges","best_claim","0x161390","71641","","71641","","0x6B82796D88A9574529fcadD8145e51Fd881E57F3","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_ladder_opt2/D-_B_evm_fund_db_CTLCMultipleEdges_best_claim"
