pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCOnly","2","1|1","multi-level","77013","138239","112508","","52947","52947","1353630","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCOnly","2","1|1","multi-level","72874","134123","112508","","52947","52947","1307794","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"D->E|evm|fund:de","CTLCOnly","2","1|1","multi-level","68747","129972","112508","","52947","52947","1261982","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"E->A|evm|fund:ea","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCOnly","1","1","single-level","72862","72862","59561","","0","0","1146787","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->D|evm|fund:fd","CTLCOnly","1","1","single-level","72874","72874","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->E|evm|fund:fe","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123887","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->G|evm|fund:fg","CTLCOnly","2","1|1","multi-level","68747","125833","112508","","52947","52947","1239070","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->E|evm|fund:ge","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123875","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
