pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","4","2|2|2|1","multi-level+multi-option","75948","213517","184138","","124599","124599","2091622","true","pair compiles to CTLCMultipleEdges; expect 3 disable step(s) before last claim/refund"
"B->G|evm|fund:bg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123887","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->D|evm|fund:cd","CTLCOnly","3","1|1|1","multi-level","72874","169982","148367","","88806","88806","1445877","true","pair compiles to CTLCOnly; expect 2 disable step(s) before last claim/refund"
"C->E|evm|fund:ce","CTLCOnly","3","1|1|1","multi-level","68747","165819","148367","","88806","88806","1377189","true","pair compiles to CTLCOnly; expect 2 disable step(s) before last claim/refund"
"C->G|evm|fund:cg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCOnly","3","1|1|1","multi-level","68747","165831","148367","","88806","88806","1377177","true","pair compiles to CTLCOnly; expect 2 disable step(s) before last claim/refund"
"E->A|evm|fund:ea","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCOnly","1","1","single-level","72850","72850","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->G|evm|fund:eg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123875","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->G|evm|fund:fg","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
