graph_id,direct,options,leader_role,leader,rank,score,total_pairs,total_levels,total_options,total_disable_steps,num_ctlc_multiple,contract,levels,duplicate_vector,pattern,deploy_gas,best_claim_gas,worst_claim_gas,refund_gas,ok_all,analysis_path
"leaderfam_directfalse_opt1","false","1","original","A","1","3000","3","3","3","0","0","CTLCOnly","1","1","single-level","1146799","72874","72874","59561","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-21-31-385Z/analysis.csv"
"leaderfam_directfalse_opt2","false","2","original","A","4","6180","5","5","6","0","1","CTLCMultipleEdges","1","2","single-level+multi-option","1285274","75948","75948","59539","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-21-55-721Z/analysis.csv"
"leaderfam_directfalse_opt2","false","2","best","B","1","4000","4","4","4","0","0","CTLCOnly","1","1","single-level","1100975","64620","64620","59561","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-22-16-800Z/analysis.csv"
"leaderfam_directfalse_opt3","false","3","original","A","5","8610","7","7","9","0","1","CTLCMultipleEdges","1","3","single-level+multi-option","1377441","75948","75948","59539","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-22-37-792Z/analysis.csv"
"leaderfam_directfalse_opt3","false","3","best","B","1","5000","5","5","5","0","0","CTLCOnly","1","1","single-level","1100975","64620","64620","59561","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-22-58-834Z/analysis.csv"
"leaderfam_directfalse_opt4","false","4","original","A","6","11040","9","9","12","0","1","CTLCMultipleEdges","1","4","single-level+multi-option","1469596","75948","75948","59539","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-23-19-399Z/analysis.csv"
"leaderfam_directfalse_opt4","false","4","best","B","1","6000","6","6","6","0","0","CTLCOnly","1","1","single-level","1100975","64620","64620","59561","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-23-40-145Z/analysis.csv"
"leaderfam_directtrue_opt1","true","1","original","A","3","5200","4","5","5","1","0","CTLCOnly","2","1|1","multi-level","1239070","68747","125833","112508","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-24-02-384Z/analysis.csv"
"leaderfam_directtrue_opt1","true","1","best","B","1","3000","3","3","3","0","0","CTLCOnly","1","1","single-level","1100975","64620","64620","59561","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-24-23-513Z/analysis.csv"
"leaderfam_directtrue_opt2","true","2","original","A","4","8380","6","7","8","1","1","CTLCMultipleEdges","2","1|2","multi-level+multi-option","1400964","71629","128885","112464","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-24-43-996Z/analysis.csv"
"leaderfam_directtrue_opt2","true","2","best","B","1","4000","4","4","4","0","0","CTLCOnly","1","1","single-level","1100975","64620","64620","59561","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-25-04-998Z/analysis.csv"
"leaderfam_directtrue_opt3","true","3","original","A","5","10810","8","9","11","1","1","CTLCMultipleEdges","2","1|3","multi-level+multi-option","1493131","71641","128885","112464","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-25-25-922Z/analysis.csv"
"leaderfam_directtrue_opt3","true","3","best","B","1","5000","5","5","5","0","0","CTLCOnly","1","1","single-level","1100975","64620","64620","59561","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-25-46-767Z/analysis.csv"
"leaderfam_directtrue_opt4","true","4","original","A","6","13240","10","11","14","1","1","CTLCMultipleEdges","2","1|4","multi-level+multi-option","1585286","71641","128885","112464","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-26-06-985Z/analysis.csv"
"leaderfam_directtrue_opt4","true","4","best","B","1","6000","6","6","6","0","0","CTLCOnly","1","1","single-level","1100975","64620","64620","59561","true","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-10T14-26-28-016Z/analysis.csv"
