source_kind,graph_id,family,pair,contract_type,scenario,num_levels,sum_options,max_options_per_level,pattern,has_multi_level,has_multi_option,disable_steps_worst,deploy_gas,best_claim_gas,worst_claim_gas,refund_gas,ok,source_path
random_analysis,random_v1_10,random_v1,B->C|evm|fund:bc,CTLCMultipleEdges,pair_summary,2,4,2,multi-level+multi-option,True,True,1,1561843,75948,133204,112464,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_10/analysis.csv
random_analysis,random_v1_10,random_v1,B->D|evm|fund:bd,CTLCOnly,pair_summary,2,2,1,multi-level,True,False,1,1239070,68723,125833,112508,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_10/analysis.csv
random_analysis,random_v1_10,random_v1,C->D|evm|fund:cd,CTLCOnly,pair_summary,2,2,1,multi-level,True,False,1,1239082,68747,125833,112508,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_10/analysis.csv
random_analysis,random_v1_10,random_v1,D->A|evm|fund:da,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_10/analysis.csv
random_analysis,random_v1_10,random_v1,D->E|evm|fund:de,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1123899,68747,68747,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_10/analysis.csv
random_analysis,random_v1_10,random_v1,E->A|evm|fund:ea,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_10/analysis.csv
random_analysis,random_v1_100,random_v1,B->C|evm|fund:bc,CTLCMultipleEdges,pair_summary,1,4,4,single-level+multi-option,False,True,0,1469572,75948,75948,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_100/analysis.csv
random_analysis,random_v1_100,random_v1,C->D|evm|fund:cd,CTLCMultipleEdges,pair_summary,1,2,2,single-level+multi-option,False,True,0,1239450,71641,71641,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_100/analysis.csv
random_analysis,random_v1_100,random_v1,D->A|evm|fund:da,CTLCMultipleEdges,pair_summary,1,2,2,single-level+multi-option,False,True,0,1193638,67334,67334,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_100/analysis.csv
random_analysis,random_v1_101,random_v1,B->C|evm|fund:bc,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1146787,72874,72874,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_101/analysis.csv
random_analysis,random_v1_101,random_v1,C->D|evm|fund:cd,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1123899,68747,68747,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_101/analysis.csv
random_analysis,random_v1_101,random_v1,D->A|evm|fund:da,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_101/analysis.csv
random_analysis,random_v1_102,random_v1,B->C|evm|fund:bc,CTLCMultipleEdges,pair_summary,1,4,4,single-level+multi-option,False,True,0,1561244,80267,80267,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_102/analysis.csv
random_analysis,random_v1_102,random_v1,C->D|evm|fund:cd,CTLCMultipleEdges,pair_summary,1,2,2,single-level+multi-option,False,True,0,1285286,75948,75948,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_102/analysis.csv
random_analysis,random_v1_102,random_v1,D->E|evm|fund:de,CTLCMultipleEdges,pair_summary,1,2,2,single-level+multi-option,False,True,0,1239462,71641,71641,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_102/analysis.csv
random_analysis,random_v1_102,random_v1,E->A|evm|fund:ea,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_102/analysis.csv
random_analysis,random_v1_103,random_v1,B->A|evm|fund:ba,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100963,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_103/analysis.csv
random_analysis,random_v1_103,random_v1,B->C|evm|fund:bc,CTLCOnly,pair_summary,2,2,1,multi-level,True,False,1,1330718,77013,134111,112508,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_103/analysis.csv
random_analysis,random_v1_103,random_v1,B->D|evm|fund:bd,CTLCOnly,pair_summary,2,2,1,multi-level,True,False,1,1284894,72850,129972,112508,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_103/analysis.csv
random_analysis,random_v1_103,random_v1,B->E|evm|fund:be,CTLCOnly,pair_summary,2,2,1,multi-level,True,False,1,1239046,68747,125833,112508,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_103/analysis.csv
random_analysis,random_v1_103,random_v1,C->D|evm|fund:cd,CTLCOnly,pair_summary,2,2,1,multi-level,True,False,1,1284894,72874,129972,112508,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_103/analysis.csv
random_analysis,random_v1_103,random_v1,D->E|evm|fund:de,CTLCOnly,pair_summary,2,2,1,multi-level,True,False,1,1239070,68747,125821,112508,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_103/analysis.csv
random_analysis,random_v1_103,random_v1,E->A|evm|fund:ea,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_103/analysis.csv
random_analysis,random_v1_103,random_v1,E->F|evm|fund:ef,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1123899,68735,68735,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_103/analysis.csv
random_analysis,random_v1_103,random_v1,F->A|evm|fund:fa,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_103/analysis.csv
random_analysis,random_v1_105,random_v1,B->C|evm|fund:bc,CTLCOnly,pair_summary,2,2,1,multi-level,True,False,1,1353618,77013,138251,112508,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_105/analysis.csv
random_analysis,random_v1_105,random_v1,C->D|evm|fund:cd,CTLCOnly,pair_summary,2,2,1,multi-level,True,False,1,1307818,72874,134123,112508,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_105/analysis.csv
random_analysis,random_v1_105,random_v1,D->E|evm|fund:de,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1169723,77001,77001,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_105/analysis.csv
random_analysis,random_v1_105,random_v1,D->G|evm|fund:dg,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1123899,68735,68735,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_105/analysis.csv
random_analysis,random_v1_105,random_v1,E->F|evm|fund:ef,CTLCOnly,pair_summary,2,2,1,multi-level,True,False,1,1284906,72850,129960,112508,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_105/analysis.csv
random_analysis,random_v1_105,random_v1,F->D|evm|fund:fd,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1146811,72874,72874,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_105/analysis.csv
random_analysis,random_v1_105,random_v1,F->G|evm|fund:fg,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1123899,68747,68747,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_105/analysis.csv
random_analysis,random_v1_105,random_v1,G->A|evm|fund:ga,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100975,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_105/analysis.csv
random_analysis,random_v1_106,random_v1,B->A|evm|fund:ba,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100975,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_106/analysis.csv
random_analysis,random_v1_106,random_v1,B->C|evm|fund:bc,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1146799,72874,72874,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_106/analysis.csv
random_analysis,random_v1_106,random_v1,B->D|evm|fund:bd,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1123887,68747,68747,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_106/analysis.csv
random_analysis,random_v1_106,random_v1,C->D|evm|fund:cd,CTLCOnly,pair_summary,2,2,1,multi-level,True,False,1,1239082,68747,125833,112508,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_106/analysis.csv
random_analysis,random_v1_106,random_v1,D->A|evm|fund:da,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_106/analysis.csv
random_analysis,random_v1_106,random_v1,D->B|evm|fund:db,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1123887,68747,68747,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_106/analysis.csv
random_analysis,random_v1_107,random_v1,B->A|evm|fund:ba,CTLCMultipleEdges,pair_summary,1,2,2,single-level+multi-option,False,True,0,1193614,67334,67334,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_107/analysis.csv
random_analysis,random_v1_107,random_v1,B->C|evm|fund:bc,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1192623,81152,81152,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_107/analysis.csv
random_analysis,random_v1_107,random_v1,C->D|evm|fund:cd,CTLCMultipleEdges,pair_summary,2,3,2,multi-level+multi-option,True,True,1,1446788,75948,133204,112464,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_107/analysis.csv
random_analysis,random_v1_107,random_v1,D->B|evm|fund:db,CTLCMultipleEdges,pair_summary,1,2,2,single-level+multi-option,False,True,0,1239450,71641,71641,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_107/analysis.csv
random_analysis,random_v1_107,random_v1,D->E|evm|fund:de,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1146811,72874,72874,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_107/analysis.csv
random_analysis,random_v1_107,random_v1,E->F|evm|fund:ef,CTLCMultipleEdges,pair_summary,2,3,2,multi-level+multi-option,True,True,1,1446788,71629,133204,112464,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_107/analysis.csv
random_analysis,random_v1_107,random_v1,F->A|evm|fund:fa,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_107/analysis.csv
random_analysis,random_v1_107,random_v1,F->D|evm|fund:fd,CTLCMultipleEdges,pair_summary,1,2,2,single-level+multi-option,False,True,0,1285286,75948,75948,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_107/analysis.csv
random_analysis,random_v1_108,random_v1,B->C|evm|fund:bc,CTLCMultipleEdges,pair_summary,1,2,2,single-level+multi-option,False,True,0,1285262,75948,75948,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_108/analysis.csv
random_analysis,random_v1_108,random_v1,C->D|evm|fund:cd,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1123899,68747,68747,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_108/analysis.csv
random_analysis,random_v1_108,random_v1,D->A|evm|fund:da,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_108/analysis.csv
