dataset,pattern,count,median_deploy_gas,median_worst_claim_gas,median_refund_gas
base,multi-level,1,1239070.0,125833.0,112508.0
base,multi-level+multi-option,6,1447047.5,128885.0,112464.0
base,single-level,9,1123887.0,68747.0,59561.0
base,single-level+multi-option,3,1377441.0,75948.0,59539.0
holdout,multi-level,1,1261982.0,129972.0,112508.0
holdout,multi-level+multi-option,3,1561867.0,133204.0,112464.0
holdout,single-level,56,1123899.0,68747.0,59561.0
holdout,single-level+multi-option,4,1423500.5,75948.0,59539.0
random,multi-level,35,1284906.0,129972.0,112508.0
random,multi-level+multi-option,68,1653503.0,137535.0,112464.0
random,single-level,155,1123887.0,68747.0,59561.0
random,single-level+multi-option,110,1285274.0,75948.0,59539.0
