pair,contract,scenario,deployGas,gasUsed,disableGasUsed,claimGasUsed,refundGasUsed,contractAddress,startBlock,endBlock,finalContractBalanceWei,party,counterparty,ok,error
"B->C|evm|fund:bc","CTLCOnly","best_claim","0x11262f","68747","","68747","","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6","8","11","0","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x90F79bf6EB2c4f870365E785982E1f101E93b906","true",""
"B->C|evm|fund:bc","CTLCOnly","worst_claim","0x11262f","68747","0","68747","","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6","8","11","0","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x90F79bf6EB2c4f870365E785982E1f101E93b906","true",""
"B->C|evm|fund:bc","CTLCOnly","refund","0x11262f","59561","0","","59561","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6","8","17","0","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x90F79bf6EB2c4f870365E785982E1f101E93b906","true",""
"B->E|evm|fund:be","CTLCOnly","best_claim","0x11262f","68747","","68747","","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6","8","11","0","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","true",""
"B->E|evm|fund:be","CTLCOnly","worst_claim","0x11262f","68747","0","68747","","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6","8","11","0","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","true",""
"B->E|evm|fund:be","CTLCOnly","refund","0x11262f","59561","0","","59561","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6","8","17","0","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","true",""
"C->A|evm|fund:ca","CTLCOnly","best_claim","0x10ccbb","64620","","64620","","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6","8","11","0","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","true",""
"C->A|evm|fund:ca","CTLCOnly","worst_claim","0x10ccbb","64620","0","64620","","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6","8","11","0","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","true",""
"C->A|evm|fund:ca","CTLCOnly","refund","0x10ccbb","59561","0","","59561","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6","8","16","0","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","true",""
"D->B|evm|fund:db","CTLCMultipleEdges","best_claim","","","","","","","","","","","","false","port 8545 did not become open in time"
"D->B|evm|fund:db","CTLCMultipleEdges","worst_claim","0x139c9a","75948","0","75948","","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6","8","11","0","0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","true",""
"D->B|evm|fund:db","CTLCMultipleEdges","refund","0x139c9a","59539","0","","59539","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6","8","18","0","0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","true",""
"E->A|evm|fund:ea","CTLCOnly","best_claim","0x10ccbb","64620","","64620","","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6","8","11","0","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","true",""
"E->A|evm|fund:ea","CTLCOnly","worst_claim","0x10ccbb","64620","0","64620","","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6","8","11","0","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","true",""
"E->A|evm|fund:ea","CTLCOnly","refund","0x10ccbb","59561","0","","59561","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6","8","16","0","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","true",""
